service_code,persona,permission,ui_component,api_endpoint,core_entity,sap_source,sap_field,test_id
PA_PROFILE_001,EMPLOYEE,employee.profile.read,EmployeeProfile,/api/employee/:id/profile,employee,PA0001,PERNR,TC_PA_001
PA_FAMILY_001,EMPLOYEE,employee.family.read,FamilyProfile,/api/employee/:id/family,employee_family,PA0021,FAMSA,TC_PA_002
PA_EDUCATION_001,EMPLOYEE,employee.education.read,EducationProfile,/api/employee/:id/education,employee_education,PA0022,SLART,TC_PA_003
PA_HSE_001,EMPLOYEE,employee.hse.read,HseProfile,/api/employee/:id/hse,employee_health_profile,PA0028,EXAMM,TC_PA_004
OM_WHOISWHO_001,EMPLOYEE,organization.whoiswho.read,WhoIsWho,/api/organization/who-is-who,om_object,HRP1000,OBJID,TC_OM_001
OM_POSITION_001,EMPLOYEE,organization.position.read,PositionProfile,/api/organization/positions/:id,position_detail,HRP1000,OBJID,TC_OM_002
PT_REQUEST_001,EMPLOYEE,time.request.write,TimeRequestWizard,/api/time/requests,time_absence,PA2001,AWART,TC_PT_001
PT_HISTORY_001,EMPLOYEE,time.request.history.read,TimeRequestHistory,/api/time/requests/history,time_absence,PA2001,BEGDA,TC_PT_002
PT_ATTENDANCE_001,EMPLOYEE,time.attendance.read,AttendanceReport,/api/time/attendance,time_attendance,PA2002,BEGDA,TC_PT_003
PT_QUOTA_001,EMPLOYEE,time.quota.read,QuotaBalance,/api/time/quotas,time_quota,PA2006,KTART,TC_PT_004
PY_PAYSLIP_001,EMPLOYEE,payroll.self.read,PayrollProfile,/api/payroll/slip,payroll_result,PCL2_B2_PAYROLL,BETRG,TC_PY_001
PY_WAGETYPE_001,EMPLOYEE,payroll.wagetype.read,PayrollBreakdown,/api/payroll/wagetypes,payroll_wage_type_result,PAYROLL_RT,LGART,TC_PY_002
PY_HISTORY_001,EMPLOYEE,payroll.history.read,PayrollHistory,/api/payroll/history,payroll_result,PCL2_B2_PAYROLL,FPPER,TC_PY_003
PE_TRAINING_CENTER_001,EMPLOYEE,training.catalog.read,TrainingCenter,/api/training/courses,training_course,TEM_HRP1000_D,OBJID,TC_PE_001
PE_MY_BOOKINGS_001,EMPLOYEE,training.booking.write,TrainingBookings,/api/training/bookings,training_booking,PAD25_HRP1001_025,EVEID,TC_PE_002
PE_MY_HISTORY_001,EMPLOYEE,training.history.read,TrainingHistory,/api/training/history,training_attendance_result,TEM_RESULTS,SCORE,TC_PE_003
PE_MY_QUALIFICATIONS_001,EMPLOYEE,qualification.read,QualificationGap,/api/training/qualifications,employee_qualification,PA0024,QKOD,TC_PE_004
TM_GOALS_001,EMPLOYEE,talent.goals.read,Goals,/api/talent/goals,employee_goal,TALENT_GOALS_EXTRACT,GOAL_ID,TC_TM_001
TM_IDP_001,EMPLOYEE,talent.idp.read,DevelopmentPlan,/api/talent/idp,development_plan,TALENT_IDP_EXTRACT,ACTION_CODE,TC_TM_002
TM_CAREER_001,EMPLOYEE,talent.career.read,CareerPlanning,/api/talent/career,career_aspiration,TALENT_CAREER_EXTRACT,TARGET_ROLE,TC_TM_003
TM_SELF_ASSESSMENT_001,EMPLOYEE,talent.selfassessment.write,SelfAssessment,/api/talent/self-assessment,performance_document,TALENT_HAP_DOCUMENT,APSTATUS,TC_TM_004
TM_APPRAISAL_001,EMPLOYEE,talent.appraisal.read,PerformanceAppraisal,/api/talent/appraisals,performance_document,TALENT_HAP_DOCUMENT,FINAL_RATING,TC_TM_005
MGR_TEAM_001,MANAGER,manager.team.read,TeamDashboard,/api/manager/team,employee_org_assignment,PA0001,ORGEH,TC_MGR_001
